location,transaction_count,total_amount,fraud_count
New Andrew,1,102.30,1
West Norma,1,208.38,0
North Darrell,2,966.77,0
Underwoodtown,5,31.94,0
New Josephburgh,1,50.33,0
Baileyside,1,2966.36,0
Port Zoeville,1,426.48,0
Lake Darin,1,263.82,0
Stevenfurt,1,80.38,1
Paulton,1,87.15,1
South Stephen,2,1255.86,0
Rachelport,1,79.18,1
East Terriland,2,991.65,0
Robinsonshire,1,393.30,0
North Brendaside,1,79.03,0
South Aaronfort,1,292.12,0
Port Gailmouth,2,301.56,0
East Dennis,1,268.86,0
South Shelleyshire,1,50.23,0
South Heidi,1,310.74,0
Sarahton,1,95.79,1
Lake Juliafurt,2,5510.68,0
Debrastad,2,158.02,2
Lake Erika,2,406.82,0
Kingfurt,1,157.38,0
West Ericmouth,2,394.39,0
South Mario,1,3104.30,0
Sandrashire,4,228.76,0
Annaside,2,3255.31,0
Stephenshire,3,467.07,0
Lake Kimberlyville,6,796.41,0
New Jeremy,2,117.06,0
West William,2,628.04,0
Port Cynthiafurt,1,1279.32,0
New Davidshire,2,5000.09,2
Hunterville,1,0.01,0
New Heidishire,1,69.25,0
West Matthewbury,1,47.03,1
Laraburgh,3,620.25,0
Lake Diana,2,743.61,0
Luishaven,1,119.80,0
East Jacob,1,727.59,0
Kristafurt,6,12374.59,0
Wendyhaven,1,238.86,0
Sheilaside,2,5296.97,0
South Kyleburgh,1,149.15,0
West Sarah,3,2741.40,1
New Alexandraberg,1,7914.38,1
West Philliphaven,2,5477.09,0
Jessetown,2,919.93,0
New Kennethton,2,166.23,0
North Audreyhaven,3,94.42,0
Sheltonview,3,1249.92,3
Penningtonburgh,4,36056.03,4
New Williamchester,9,453.42,0
Port Tiffany,3,585.45,1
Williamsside,2,1384.99,1
Christinechester,1,62.64,1
Port Debra,4,226.77,0
Fosterport,1,75.37,0
New Christina,4,292.27,0
Douglaston,1,88.97,0
Thomashaven,3,173.19,0
Lake Caitlin,2,3452.67,0
Port Anthonyhaven,1,345.07,0
Wendyland,1,233.01,0
South Laurahaven,1,217.60,0
South Alan,4,283.52,0
Port Jeffchester,1,491.27,1
Vegaton,1,187.77,0
East Dianachester,1,487.14,0
Williamsmouth,9,4955.97,0
Florestown,3,145.12,0
Moorefort,2,13904.66,2
West Matthewfurt,7,598.88,0
New Jenniferbury,3,1047.28,0
North Bryanton,1,413.49,0
Priceshire,6,140.53,0
Dunnfurt,9,3253.30,0
East Elizabethburgh,1,443.31,0
Port Robertburgh,2,131.87,0
Bryanfort,3,1328.25,0
Lake Georgeville,2,1200.68,0
Port Michaelshire,2,137.39,0
"Carlostown, Nigeria",1,3119.59,1
Osborneville,2,585.23,0
Daltonport,1,72.02,0
Bairdview,1,78.18,0
South Janetberg,3,354.41,3
Deborahtown,1,78.67,0
Christianton,1,83.66,0
Odonnellshire,1,451.45,0
Rebeccatown,1,99.69,1
Kellyfort,7,9990.55,0
Lake Danielleport,1,1596.50,0
New Rodney,1,346.47,1
Hernandezton,3,5116.95,0
Lake Katherineberg,2,198.10,0
Port Edwinport,1,7667.43,1
South Kristy,1,2938.74,0
Tanyafurt,1,1589.84,0
Brownbury,1,74.41,0
New John,12,2222.85,1
North Elizabeth,12,9257.92,1
Wheelerbury,1,153.70,1
North Aprilborough,1,90.51,0
East Martha,1,3537.09,1
West Cesarbury,1,1189.31,0
East Robyn,1,789.83,0
North Paul,1,0.01,0
Joshuachester,4,3144.61,0
Jackhaven,1,78.23,0
East Johnfurt,1,207.82,0
Gordonport,1,214.05,0
New Kimberlyburgh,2,34.24,0
Myerschester,2,2385.40,1
Robertsmouth,6,1941.28,0
Michaelbury,4,3141.69,0
Danielborough,4,139.92,0
Lake Barbara,1,245.28,0
New Lori,2,2432.88,0
Anthonyborough,1,2142.21,0
East Adamland,1,197.40,0
Lake Jasonshire,6,32504.05,3
Rileyfort,4,3062.74,0
Ortizview,1,1959.55,0
Lopezchester,3,634.41,0
East Rebecca,4,2622.29,0
East Alexis,1,73.47,1
Dianehaven,1,175.11,0
New Ellenview,1,980.49,1
West Joshuamouth,1,95.15,0
Thomaston,1,41.94,0
New Nicholasside,1,0.01,0
Rebeccaburgh,2,768.09,0
New Victoria,1,123.43,0
South Ashleyfurt,1,432.24,0
New Monica,4,378.34,0
Ryanport,1,382.95,0
Simmonsborough,2,997.66,0
New Jefferyfort,1,257.49,1
North Vickichester,1,7067.71,1
Norrismouth,2,621.95,0
Kristinaport,1,907.50,0
New Andrea,2,1020.54,0
Heatherfort,2,602.56,0
Port Jason,5,3789.25,1
Lake Alisonview,1,507.77,0
New Melissaberg,1,6746.95,1
Timothymouth,2,582.90,1
West Tiffany,1,114.03,1
Shermanville,3,259.40,0
Sanchezview,1,148.84,0
South Charlesside,3,289.89,0
Coltonstad,1,245.60,0
Austinbury,1,87.66,1
Allisontown,3,551.13,0
South Kyleton,1,101.49,0
Jacksonfort,1,251.84,0
Heatherfurt,3,182.22,0
North Carolyn,4,882.81,0
North Rachelhaven,4,1179.34,0
North Rachel,2,397.42,0
Robinsonside,2,490.95,0
North Patrick,1,41.28,0
New Amber,4,5128.24,0
Port Christinechester,4,1925.97,0
Christinaport,3,227.46,0
Deanhaven,2,711.61,0
North Jennyland,2,171.49,0
South Larry,5,325.10,0
Timothyton,3,65.88,0
West Charlesmouth,1,223.64,0
New Jorgeton,1,248.69,1
North Hailey,1,121.32,0
Downsville,3,1280.51,0
East Kellyfurt,1,68.03,0
Nobleport,2,2061.57,0
Shaneshire,1,90.68,0
Warnertown,1,0.01,0
Morganport,3,920.07,0
East Marcustown,4,1433.84,0
Bentleytown,1,2440.85,0
South Christopher,5,1571.99,0
North Kristafort,3,1241.15,0
Lake Susan,2,98.59,0
Fieldsberg,4,620.39,0
Lynchland,1,33.78,0
South Annamouth,2,2653.72,2
North Robertview,1,197.22,1
Josephton,2,639.55,1
Heidiborough,3,32.78,0
East Kelly,1,92.45,0
Port Hollychester,2,60.95,0
Ryanside,1,2349.06,0
Martinezbury,2,641.48,0
South Vanessamouth,1,40.75,0
Simsshire,1,84.33,0
Mcculloughfurt,4,302.23,0
Heathermouth,1,29.16,0
Martinezhaven,1,71.73,0
Brianview,1,365.79,0
West Susanfurt,1,158.63,1
Robertabury,1,226.40,0
North Victorton,1,381.38,0
East Manuelside,5,1496.10,0
New Erintown,1,13.92,1
East Kennethburgh,1,40.73,0
Robinsonburgh,2,243.00,2
North Heatherview,4,378.74,0
Lake Michaelmouth,3,2076.08,0
Barnettfort,1,140.28,1
North Pamelachester,1,59.33,0
Shannonstad,5,421.41,1
Port Lindsey,4,330.68,0
Klineton,1,90.16,0
East Aimee,1,266.34,0
Johnsonchester,3,159.91,0
Gomezside,2,137.45,0
South Paulbury,1,102.03,1
East Jason,2,12862.58,2
Staceyfurt,1,74.44,0
Fletchermouth,2,360.57,0
Shaunport,3,386.02,0
Robertville,7,132.86,3
Adamsland,1,410.04,0
Port Janet,1,289.91,1
Port Chelseaport,2,2072.58,0
Dianaburgh,2,5421.24,0
Port Sarahside,1,294.33,0
Cynthiaton,4,287.97,0
Armstrongtown,2,2981.82,0
Kaitlynport,2,376.38,2
Johnton,2,155.61,2
Lake Annette,1,213.39,0
West Stephanie,7,4277.38,0
East Katrina,2,178.85,0
East Sarahland,1,232.72,1
Shelbyfort,1,71.24,1
North Dominiqueborough,1,237.03,1
Schwartzton,2,3472.33,0
East Joshua,2,527.13,0
South Rachel,3,2996.14,0
Brownchester,1,3060.42,0
Port Clayton,1,464.48,0
Port Tara,1,0.01,1
Port Adamview,1,241.25,1
Michellestad,1,106.11,0
Lake Richardbury,1,376.95,0
New Mark,2,2334.95,1
Lake Stevenfort,2,795.57,2
Port Laurenchester,2,1132.48,0
Hannahstad,1,452.40,0
North Michaelview,3,1596.58,0
West Pamelamouth,1,50.88,0
Paulbury,1,80.40,0
Contrerastown,1,2302.37,0
West Josephstad,1,373.86,0
Robertstad,1,313.06,1
East Matthewton,1,386.85,0
New Johnny,1,38.18,0
East Katherine,3,201.76,0
Nathanport,1,332.58,0
South Karamouth,1,2584.77,0
Leonville,1,74.04,0
Pattersonshire,1,101.75,0
Diazside,2,127.00,0
Boothview,4,4228.27,0
Farleyland,2,876.95,0
Meadowsfort,1,14.12,1
Mathischester,1,1937.07,0
Port Kimberlyfurt,1,82.49,0
Dalefurt,3,1229.34,0
Smithland,5,11529.79,0
Beverlyport,1,6492.79,1
Destinyborough,6,2757.93,0
Jonesville,1,320.75,0
Changburgh,1,357.56,0
Smithmouth,3,810.09,2
Port Cameron,2,135.09,0
North Elizabethhaven,2,2561.50,0
South Kimberlyberg,3,1079.75,0
Lake Erica,1,1629.81,0
Mayston,1,1922.02,0
New Molly,3,248.63,0
Port Steven,6,738.90,2
Roymouth,1,324.21,0
Cordovaberg,2,453.17,0
New Charles,1,364.28,0
Pittmanmouth,1,3320.36,0
Nealview,1,354.00,0
North Annhaven,5,694.05,0
Port Kristinaland,2,290.62,0
Lake Johnburgh,1,397.14,0
West Randyton,1,107.63,0
East Vanessaview,3,5354.22,0
Clineland,1,51.51,1
Catherineton,4,579.34,0
Larsonhaven,1,428.60,0
Lake Eric,1,270.24,0
North Angelaborough,1,65.55,0
Kimberlyburgh,1,173.87,1
Rebeccamouth,5,639.67,2
Patrickport,1,389.44,0
New Georgefurt,1,1929.31,0
Rebeccaville,1,7992.66,1
Lake Andrewland,1,49.46,0
East Kristen,2,42685.76,1
Murphystad,2,3005.04,0
Hubertown,3,1135.24,0
North Danielmouth,1,73.68,1
Walkertown,2,801.23,0
South Roger,2,76.48,0
Nicholemouth,2,921.06,0
Grahamside,3,5545.10,0
Haroldton,2,78.17,0
South Karenland,1,111.20,0
Port Johnton,1,1269.87,0
Angelaburgh,1,121.50,0
Greenton,1,1915.12,0
Kathrynshire,1,1942.56,0
South April,1,58.40,0
Francomouth,1,0.01,1
Phillipsfurt,1,1134.52,1
South Megan,4,2164.37,0
Rogersshire,1,103.58,0
Gloverchester,2,126.35,0
Jasonchester,1,94.31,0
West Josephhaven,1,46.62,0
North Krystalfurt,2,49.87,0
Richmondburgh,1,370.44,1
South Williemouth,1,95.71,0
Thomasmouth,1,171.61,0
Davisbury,5,2058.53,0
East Robertomouth,1,1513.93,0
Moorestad,4,3384.47,0
Maryberg,4,1160.92,1
Garnerville,7,6200.09,0
Walkerburgh,3,6383.78,0
North Jon,1,50.10,0
Wallacestad,1,107.27,1
West Brianbury,1,60.19,0
Beckermouth,1,48.47,0
Benjaminfort,2,842.54,0
Port Mark,3,3562.24,0
East Jennifermouth,2,715.69,1
West Johnfurt,5,243.08,0
Ortizberg,1,152.33,0
Thompsonshire,2,2234.66,0
East Christine,2,13014.04,1
Lake Cody,1,186.34,1
South Amyport,2,5608.82,0
East Jasonhaven,1,290.11,0
Wilsonview,1,63.58,0
Frankmouth,2,387.58,0
New Amyside,2,44.19,0
West Jill,1,640.05,1
Lake Karen,3,2585.17,0
Bowmanside,1,648.23,0
Donnatown,1,222.51,0
Bowershaven,1,103.07,0
Darrenburgh,1,28.76,0
South Danny,9,928.26,0
Deniseside,1,64.17,1
West Mallorymouth,1,711.51,0
Gregoryhaven,1,0.01,0
Tylermouth,1,2043.71,1
Kevinborough,1,2290.44,0
Aaronmouth,2,2880.61,0
North Jeremiahview,6,9486.91,0
West Christinestad,1,324.68,1
Port Anthonymouth,2,259.99,0
South Joseph,1,25.39,0
Parkstad,5,638.91,0
Mendozamouth,1,769.31,0
Davisport,1,5934.57,1
North Andrewchester,3,1362.47,0
West Kevin,4,316.34,0
West Thomasshire,3,261.03,0
Josephhaven,2,3229.23,0
Kimberlyview,1,373.07,1
East Jeremyhaven,1,152.37,0
New Alyssaberg,2,3115.46,0
Tinashire,1,201.16,0
Carlfort,1,95.65,1
Millstown,2,678.54,0
Lake Bethstad,3,117.49,0
East Lindaton,1,185.41,0
Sarahview,1,2721.91,1
South Kennethbury,2,1652.78,0
West Madisonberg,1,61.35,1
Baileyshire,1,5110.91,1
Jacksonside,2,3025.39,0
East Donaldstad,2,890.76,0
Davidshire,1,75.28,1
Parkhaven,1,2430.45,1
Antoniotown,3,1207.83,0
South Melissa,6,9875.19,3
West Virginiaside,3,1041.55,3
Sharpshire,1,65.63,0
East Lorraine,3,5290.67,0
Lake Jermaine,2,1011.05,0
North Leroy,2,798.07,2
New Catherineside,1,298.15,0
Perezside,4,8126.07,3
West Ryan,2,278.18,0
New Michaelland,1,119.81,1
Lake James,8,1715.80,2
East Tina,1,9747.46,1
Barnettberg,1,1618.61,0
Jeffreyfurt,4,526.38,0
East Tracy,1,1248.25,0
West Hannahberg,1,257.91,0
Gibbsville,2,180.56,0
West Jesus,1,114.31,1
Murphymouth,1,38.73,0
Lake Donna,2,113.73,0
West Kaitlyn,1,316.30,0
New Nicolefurt,1,209.50,0
East Dale,1,47.00,0
Carrieshire,3,178.46,0
Hamptonburgh,1,584.24,0
Ortizstad,1,136.32,1
Marthamouth,6,2784.72,0
East Julialand,1,147.83,1
New Josehaven,2,44.43,0
North Samanthaview,1,85.94,0
South Jillville,2,426.82,0
South Andrew,3,322.61,0
Stefaniefurt,1,404.20,0
North Timothy,1,146.13,0
East Sheena,8,6776.09,0
Longbury,1,3203.63,0
South Toniburgh,1,476.06,0
Curtishaven,3,7375.42,0
Harrischester,1,343.66,0
East Davidstad,1,2549.74,0
Carterport,3,219.67,0
Ricardoberg,1,268.05,0
Kylefort,1,225.13,0
South Juan,1,109.22,0
Pricemouth,1,56.71,0
East Jasonport,2,133.11,0
West Keithchester,1,81.27,1
North Wendyfort,1,22.99,0
East Nataliehaven,2,155.92,1
Kristaport,2,21720.85,2
Carlsonhaven,2,718.46,0
Haneyview,1,291.32,0
Woodfurt,3,22130.10,3
Pattersonfurt,1,75.65,1
Choiburgh,1,495.11,0
West Matthew,3,465.57,1
Port Juliaview,1,289.11,1
South Katherine,1,217.47,0
Lake Mckenzie,1,142.76,1
South Angela,2,347.09,0
Lake Glenda,5,4175.49,0
Lake Corey,3,2768.40,0
Claytown,1,356.80,0
Miguelburgh,3,143.22,0
Lawrencefort,2,163.95,0
New Brianfort,2,448.27,0
North Henry,1,386.63,1
South Adamfort,3,71.34,0
New Reneefort,1,80.28,0
Lake Lisastad,1,83.34,0
North Adamborough,1,192.49,1
North Madisonburgh,1,278.46,0
Andrewstown,2,317.27,0
Owensfort,3,29.84,0
New Caitlyn,1,19.07,1
Campbellchester,2,315.38,1
Prattville,1,123.02,0
Holmesfurt,4,1423.79,0
Lake Jared,2,5306.34,0
Port Sierra,1,260.36,1
Thomasborough,2,568.39,1
West Angelachester,4,710.66,0
Robertton,10,1626.32,1
Williambury,1,90.78,0
Dixonshire,1,317.57,1
North Kelsey,1,239.84,0
West Hectorport,1,1689.30,0
Lake Heidi,1,57.42,0
East Kenneth,3,699.40,0
Jeffreymouth,2,1074.69,0
New Kimberlyfort,2,14054.99,2
West Kellyberg,1,2479.58,1
Markmouth,2,9335.89,1
South Kristinbury,2,82.81,1
East Edgarton,1,489.85,1
New Jessicaburgh,1,162.99,0
Scottview,3,140.05,0
Georgeville,4,617.05,0
Maryfort,1,289.71,0
Adamtown,3,241.26,3
West Brandyfurt,1,249.75,0
Lake Kim,1,33.97,0
Marktown,1,253.88,1
North Misty,4,1404.82,0
Port Michelleside,2,46.17,0
Rodriguezport,1,287.27,0
Lake Chelseaview,1,121.61,0
Jenniferbury,1,1899.56,0
Joshuaberg,2,370.66,0
Janetton,2,48.15,0
North Jessica,5,407.03,0
Reynoldsshire,1,30.55,0
Banksmouth,1,282.70,0
Andresview,3,713.57,0
Frazierton,1,112.60,0
Connerhaven,2,5328.85,0
Port Davidborough,1,1338.73,0
Rebeccastad,4,547.14,0
East Williamshire,1,13.96,0
Whiteton,1,369.65,0
Lake Jenniferchester,3,177.59,0
New Stephaniemouth,3,1131.60,0
South Alyssa,1,53.26,0
Lake Patriciabury,1,1648.74,0
Josehaven,3,141.81,0
East Patriciachester,1,259.22,1
Cameronville,1,228.68,0
Debbieborough,5,681.29,5
North Rachelborough,2,634.72,0
Port Wendybury,2,3188.70,0
Geraldborough,6,1428.78,0
Stacyville,9,810.80,0
South Jennifertown,3,978.50,0
New Joseph,4,5021.04,0
North Matthewmouth,1,114.40,0
Port Lisafort,1,1469.17,0
Larryshire,1,1592.82,0
North Brianna,3,265.62,0
East Masonstad,1,91.81,1
New Charleschester,5,2102.73,0
Nathanielbury,1,277.48,0
Kevinhaven,1,1509.03,0
Toddmouth,1,318.18,0
Kelleyville,5,9419.71,0
New Christinechester,6,486.05,0
Jessicachester,1,254.54,1
Hendersonton,1,47.97,0
Lake Jessicafort,2,944.62,0
Ariasfurt,1,221.21,0
Robertberg,6,12071.98,0
East Sallyborough,2,65.08,0
Ambershire,3,77.39,0
North Keithshire,1,0.01,0
Lake Anthony,1,2019.07,0
Lindaview,2,198.10,0
Katherineland,3,450.78,0
New Connie,1,93.61,0
North Joseph,2,465.39,0
Port Jeffreystad,1,264.72,0
West Audrey,1,36.48,0
New Jaclyn,1,63.29,0
Moorefurt,1,2345.59,0
Rhondamouth,1,51.53,0
"North Erinburgh, China",1,3644.36,1
Terrimouth,1,92.00,0
North Frankside,1,279.83,1
Crosbystad,1,296.52,0
West Claireshire,1,202.00,1
Brianland,5,1210.75,0
Pamelastad,2,969.72,0
Lake Brianmouth,2,316.81,0
North Donaldchester,1,3791.22,0
Alexandraville,3,175.74,0
Arellanoland,1,40.91,1
North Brianaside,1,89.29,0
West Jessicahaven,1,0.01,0
Brooksview,2,827.90,0
Rachelburgh,3,200.14,0
Lake Natalie,1,314.30,1
Joshuaside,4,285.13,0
Tinastad,1,67.32,0
Petersonstad,3,702.49,0
Rachaelmouth,1,71.58,1
Port Chris,1,3006.29,1
New Aaron,2,3324.16,0
New Darlenemouth,11,3083.19,0
Lake Katelyn,1,196.31,0
Port Kevinberg,3,152.32,0
Angieborough,3,451.22,0
North Catherinefurt,1,114.81,0
Lake Darrenmouth,1,191.48,0
New Sarahtown,1,201.58,0
Rossmouth,1,60.74,0
Cookhaven,3,8067.47,0
Hurstport,2,686.64,0
Josephchester,1,367.03,0
North Seanview,2,10724.24,2
Jordanburgh,3,5681.16,0
Lake Bryan,2,1607.01,1
Harrisonberg,1,64.92,0
Sullivanburgh,1,145.07,0
Lake Richardfurt,1,87.94,0
East Troymouth,5,6122.68,0
Port Connieton,2,3308.19,0
Bondberg,1,86.76,0
New Kevinhaven,1,71.08,0
Walkerland,1,183.01,0
Lake Frankhaven,1,1900.29,0
Cunninghamview,2,864.82,0
North Mario,2,815.12,0
Lake Dominiqueton,1,18980.89,1
South Donaldland,1,356.69,0
Lake Timothyborough,3,385.68,0
Brittanyhaven,3,520.22,0
New Staceytown,2,134.17,2
North Chad,2,96.30,0
Christopherside,1,59.88,0
Anthonyton,2,537.83,0
Pinedaport,1,108.66,0
East Michaelbury,2,633.53,0
New Shelbyberg,4,1018.15,0
Brownberg,7,1253.13,0
Port Joshua,9,12920.17,1
Jacksonton,2,478.15,0
North Craig,6,2877.07,0
Swansonmouth,1,44.07,0
Chunghaven,3,82.16,0
Lake Amy,1,96.27,0
Meganview,1,2609.42,0
Johnstonburgh,1,71.35,0
Ramirezhaven,3,768.13,0
Lynchbury,1,17.00,0
Lake Jonview,2,184.93,0
North Jonathan,6,1216.87,0
Garnermouth,1,215.87,1
Danielside,2,4561.26,1
Lake Jill,2,963.94,0
Port Alexandraside,1,804.25,0
Madisonshire,2,932.48,0
Morrisport,2,4806.72,0
Millerburgh,1,343.73,0
Edwardhaven,1,353.83,0
New Kimberlyfurt,1,10.50,0
North Amandamouth,1,26.17,0
Stewartview,10,877.64,0
Lopezfort,3,181.43,0
Baileymouth,1,312.31,0
Port Christopherfurt,1,73.72,1
South Jamesmouth,2,227.76,1
South Allison,1,269.22,0
Port Andrewport,2,132.26,0
Stevenhaven,2,6654.29,0
Robinsonfort,1,182.75,0
Lake Larry,1,199.21,1
Port Williammouth,1,42.48,0
Port Nicole,1,2688.44,0
Lake Paul,1,2687.25,0
Hoodside,4,837.66,0
East Johnmouth,1,230.14,1
Robersonton,2,426.23,0
New Sherry,1,402.22,0
Leeview,2,888.05,2
Lake Justinborough,1,361.07,0
Vickieborough,2,134.48,0
Davidchester,5,3401.17,0
Deniseburgh,1,47.04,0
Port Danielland,2,544.63,0
East Lukeview,5,321.99,0
Joshuafurt,1,9.76,0
Jasonview,1,344.90,0
Calvinton,1,361.79,0
North Douglas,2,63.66,1
West Parkerport,3,123.71,3
Lake Debbie,1,0.01,0
New Sara,3,7962.89,0
South Dennis,1,721.22,0
New Joshua,1,2789.07,0
South Kent,2,671.75,0
East Edward,1,357.72,0
West Briana,1,403.95,0
Theodoreburgh,1,79.78,0
East Hunterburgh,2,584.04,0
Lake Joelshire,1,2501.52,1
Hoffmanchester,1,607.21,1
Port Jeremymouth,2,646.26,0
Coxport,1,91.18,0
Jamesbury,3,618.22,0
Schroederfurt,2,675.41,0
Conwaychester,1,61.91,0
Lake Anne,1,220.77,1
Spearshaven,2,137.23,0
East Jennifer,18,15855.64,1
Dunnmouth,1,285.65,1
New Brian,1,244.56,0
Garyburgh,1,304.54,1
Lake Stacyfurt,2,175.76,0
North Dylanburgh,1,11.20,0
Lake Karenborough,1,284.75,1
South Cynthiaborough,1,33.70,0
North Bethfort,1,3022.76,1
Sabrinafurt,1,1277.49,0
South Robert,3,367.88,0
South Nancybury,2,48.18,0
North Arthurmouth,1,1056.78,0
South Janice,1,94.54,0
West Mariamouth,1,4156.66,0
North Melody,1,1719.24,0
Smithchester,4,878.16,2
Lake Tinaville,1,775.61,0
Port Jerryland,2,3743.26,0
North Karen,1,321.18,1
South Heatherburgh,1,2059.54,1
Lake Nicholas,2,202.51,0
Ibarrashire,1,87.18,0
Chadbury,5,11833.05,1
Stuartville,1,1849.96,0
Branchbury,1,16.57,0
Lake Tracey,1,26.34,0
Darlenehaven,3,1162.89,0
Guzmanchester,1,226.74,0
West Joseph,3,4901.40,0
Mikefurt,3,960.27,0
East Shelby,3,721.25,0
West Monicaview,1,486.62,0
New Tina,3,551.05,0
South Ryan,1,6.60,0
North Stephanie,6,825.48,1
Charlesshire,1,107.23,0
Starkmouth,1,1379.25,0
East Jessica,1,391.34,1
Amychester,3,594.57,0
Port Christopherfort,1,81.52,1
Gonzalezland,4,2319.31,0
West Williamport,2,368.12,0
Burnsview,1,273.87,0
South Johnport,2,615.40,0
Sotomouth,1,1326.48,0
Edwardberg,1,376.44,1
East Vickiborough,4,4963.19,0
Rodriguezland,2,591.66,0
Lake Kenneth,4,262.05,0
Leonardville,1,429.43,0
Katieview,2,676.69,0
Joshuaville,1,367.07,1
Darrenmouth,4,426.92,0
Schneiderview,2,575.31,0
Lake Grace,2,601.99,0
New Johnbury,5,398.46,0
Port Clifford,1,5138.79,1
Tiffanychester,1,5702.39,1
Lake Alex,2,97.09,2
Garzahaven,3,18388.13,2
Mclaughlinhaven,2,1402.68,0
New Sarah,3,5542.23,0
New Eric,2,2992.06,0
Vincentland,2,24.72,0
Mccoyfurt,3,816.85,3
Brendachester,1,90.63,0
North Crystal,2,260.29,0
Cassandrabury,1,2088.08,0
Nicholasburgh,3,6397.40,0
Jessicabury,1,9.87,0
South Ericberg,2,355.85,0
Daviston,1,59.26,0
South Deborah,1,1295.66,1
South Tammy,3,998.65,0
East Allisonborough,2,5847.78,2
Port Brianburgh,1,503.95,0
Rioshaven,1,31.11,0
Myersstad,2,160.27,0
Wangport,2,430.68,0
Moniquestad,6,11813.36,0
Andersonmouth,11,1686.32,1
West Jasminehaven,2,3458.93,0
Courtneymouth,1,377.56,0
Kaitlynfurt,4,7223.10,0
Lake Madeline,3,1233.51,0
Lake Tammy,4,8332.64,1
Donland,1,203.23,0
Victorialand,2,151.34,0
South Caleb,1,321.55,0
Hollowayborough,3,1242.95,0
Kimberlybury,7,1553.76,2
Port Brandonmouth,1,343.02,0
North Davidmouth,1,48.28,0
West David,4,425.65,0
West Terri,2,560.50,0
New Stevenchester,1,407.72,0
Russellbury,4,23761.08,3
Ianburgh,1,62.00,0
Port Mollyborough,1,160.35,0
North Ronald,2,520.40,0
East Jack,1,2675.63,0
South Hollyton,1,261.08,0
East Karentown,3,335.89,0
Wilsonborough,5,1271.91,0
Aarontown,1,69.80,0
East Latoya,1,71.19,0
South Cassidytown,4,10227.61,0
Hallshire,1,404.05,1
Anthonychester,2,148.67,0
Brianborough,1,177.36,0
